                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 2.0614,                 1.9911,                  2.551,                0.47951,                 0.5553,                0.50225,                0.28106,                 1.7023,                 2.4264,                 2.3063,               0.001151,               0.001151,               0.001151
                     67,                 2.0468,                 1.8538,                 2.4698,                0.46386,                0.58163,                0.49323,                0.26549,                 1.7445,                 2.2675,                  2.298,              0.0011495,              0.0011495,              0.0011495
                     68,                 2.0791,                 1.9547,                 2.5028,                0.47858,                0.74889,                0.63315,                0.34046,                  1.701,                 2.0308,                 2.3038,              0.0011479,              0.0011479,              0.0011479
                     69,                 2.0255,                 1.9841,                  2.469,                0.54709,                0.69874,                0.67579,                0.33305,                 1.7627,                  2.073,                 2.3903,              0.0011464,              0.0011464,              0.0011464
                     70,                 1.9641,                 1.9064,                 2.4309,                0.54185,                 0.7338,                0.69519,                0.36314,                  1.741,                 1.8511,                 2.3376,              0.0011448,              0.0011448,              0.0011448
                     71,                 1.9061,                 1.8378,                 2.3969,                0.58035,                0.64015,                 0.6524,                0.38089,                 1.6746,                 1.7007,                 2.2471,              0.0011433,              0.0011433,              0.0011433
                     72,                 1.9782,                 1.9003,                 2.4528,                0.44352,                0.48185,                  0.494,                0.27689,                 1.6966,                  1.937,                 2.2655,              0.0011417,              0.0011417,              0.0011417
                     73,                 1.9564,                  1.913,                 2.3823,                0.48256,                0.58003,                0.53585,                0.28467,                 1.6963,                 1.8905,                  2.285,              0.0011402,              0.0011402,              0.0011402
                     74,                 1.9623,                 1.8395,                 2.4106,                0.50959,                0.72766,                0.61678,                0.34039,                 1.6469,                 1.9322,                 2.2729,              0.0011386,              0.0011386,              0.0011386
                     75,                 2.0162,                 1.8696,                 2.4191,                0.46437,                0.72492,                0.55454,                0.31273,                 1.6511,                  2.244,                 2.2694,              0.0011371,              0.0011371,              0.0011371
                     76,                 1.9574,                 1.9192,                 2.3688,                 0.4999,                0.63717,                0.56547,                0.33348,                  1.547,                 2.2984,                 2.2303,              0.0011355,              0.0011355,              0.0011355
                     77,                 1.8914,                 1.8647,                 2.3893,                0.49318,                0.63734,                0.58293,                0.31522,                 1.6508,                 2.2706,                 2.2991,               0.001134,               0.001134,               0.001134
                     78,                 1.8769,                 1.8021,                  2.322,                0.53987,                0.55227,                0.56605,                0.31613,                  1.624,                 2.4822,                 2.2487,              0.0011324,              0.0011324,              0.0011324
                     79,                 1.9169,                 1.8311,                 2.3321,                0.48953,                0.57295,                0.55405,                0.34047,                 1.5325,                 2.2688,                 2.1565,              0.0011309,              0.0011309,              0.0011309
                     80,                 1.8498,                 1.8016,                 2.3068,                0.62455,                0.59465,                0.64675,                0.37559,                 1.5866,                  2.052,                 2.2237,              0.0011293,              0.0011293,              0.0011293
                     81,                 1.9406,                 1.8733,                 2.3864,                0.61977,                0.62305,                 0.6823,                0.36763,                 1.7067,                 2.0727,                 2.3426,              0.0011278,              0.0011278,              0.0011278
                     82,                 1.9493,                 1.8921,                 2.4114,                0.57846,                0.68371,                0.69886,                0.35558,                 1.7847,                 2.1816,                  2.414,              0.0011263,              0.0011263,              0.0011263
                     83,                 1.8471,                 1.6956,                 2.3333,                0.61394,                0.67612,                0.68776,                0.36358,                 1.6907,                 1.9154,                 2.3232,              0.0011247,              0.0011247,              0.0011247
                     84,                 1.9708,                 1.8894,                 2.3944,                0.51825,                0.72576,                0.66539,                0.36953,                  1.651,                 1.7187,                 2.2287,              0.0011232,              0.0011232,              0.0011232
                     85,                  1.883,                 1.7281,                 2.2774,                0.61962,                0.67229,                0.66857,                0.38608,                 1.5808,                 1.8302,                 2.1739,              0.0011216,              0.0011216,              0.0011216
                     86,                 1.7912,                 1.6879,                  2.212,                0.53715,                0.78125,                0.68584,                0.40601,                 1.5267,                 1.8485,                 2.1451,              0.0011201,              0.0011201,              0.0011201
                     87,                 1.8437,                 1.7759,                 2.2987,                0.54343,                 0.7491,                0.68869,                0.39424,                 1.5772,                 1.7698,                 2.1843,              0.0011185,              0.0011185,              0.0011185
                     88,                 1.7479,                 1.6847,                 2.2132,                0.48378,                0.74452,                0.65339,                0.36516,                 1.6313,                 1.6697,                 2.1858,               0.001117,               0.001117,               0.001117
                     89,                 1.7892,                  1.682,                 2.2395,                0.55062,                0.74871,                0.68297,                0.39643,                 1.6373,                 1.6386,                 2.2059,              0.0011154,              0.0011154,              0.0011154
                     90,                 1.7749,                 1.6744,                 2.2128,                0.62739,                0.79025,                0.71429,                0.42942,                 1.6299,                 1.6519,                 2.2178,              0.0011139,              0.0011139,              0.0011139
                     91,                 1.7381,                 1.5632,                 2.2115,                0.64073,                0.76686,                0.72846,                0.41151,                 1.6994,                 1.7007,                 2.3165,              0.0011123,              0.0011123,              0.0011123
                     92,                 1.8521,                 1.7019,                 2.3023,                 0.5803,                0.78257,                0.69135,                0.38748,                  1.765,                 1.7679,                 2.3537,              0.0011108,              0.0011108,              0.0011108
                     93,                 1.9377,                 1.7403,                 2.3604,                0.55815,                0.77562,                 0.6582,                0.37236,                 1.7031,                 1.7097,                 2.2935,              0.0011092,              0.0011092,              0.0011092
                     94,                 1.7978,                  1.664,                 2.2356,                0.56184,                0.75599,                0.66968,                0.38088,                 1.6468,                 1.6629,                 2.2504,              0.0011077,              0.0011077,              0.0011077
                     95,                 1.8066,                 1.7633,                 2.2599,                0.58808,                0.75663,                0.66333,                0.39223,                 1.5807,                  1.754,                 2.1979,              0.0011061,              0.0011061,              0.0011061
                     96,                 1.7948,                 1.7254,                 2.2609,                0.50667,                0.77045,                0.68547,                0.41133,                 1.5787,                 1.7679,                 2.1469,              0.0011046,              0.0011046,              0.0011046
